季別,營業收入,營業成本,營業毛利,毛利率,營業利益,營益率,業外收支,稅前淨利,稅後淨利,EPS
114.3Q,642,271,371,57.81,246,38.36,136,383,304,5.02
114.2Q,636,204,431,67.89,317,49.94,-203,114,91,1.5
114.1Q,571,225,347,60.64,244,42.66,77,321,256,4.24
113.4Q,647,295,352,54.38,248,38.32,133,381,321,5.45
113.3Q,629,309,320,50.94,240,38.1,-26,214,170,2.9
113.2Q,629,314,314,50.01,232,36.87,66,298,239,4.09
113.1Q,593,281,312,52.63,211,35.53,138,348,270,4.65
112.4Q,629,349,280,44.53,178,28.26,-63,114,105,1.86
112.3Q,633,343,290,45.78,173,27.26,144,316,251,4.45
112.2Q,602,305,297,49.38,186,30.96,88,275,219,3.96
112.1Q,569,297,272,47.85,164,28.73,22,185,138,2.51
111.4Q,615,318,297,48.32,169,27.55,-28,141,129,2.34
111.3Q,597,342,255,42.7,155,25.99,112,267,211,3.84
111.2Q,638,409,229,35.89,142,22.25,47,189,148,2.69
111.1Q,506,292,215,42.4,132,26.11,49,181,141,2.57
110.4Q,526,299,227,43.14,146,27.74,-5,141,111,2.02
110.3Q,495,319,176,35.63,101,20.35,1,102,76,1.39
110.2Q,456,281,175,38.38,95,20.81,-36,59,50,0.91
110.1Q,434,250,184,42.35,128,29.43,1,129,99,1.8
109.4Q,411,218,193,47.04,122,29.75,-27,96,82,1.5
