stock_code,stock_name,shares,weight,date
2330,台積電,4140000,11.69,2026-05-11
2383,台光電,725000,4.44,2026-05-11
2308,台達電,1500000,4.25,2026-05-11
3017,奇鋐,1300000,4.2,2026-05-11
3665,貿聯-KY,960000,3.52,2026-05-11
2303,聯電,28620000,3.43,2026-05-11
3037,欣興,3050000,3.32,2026-05-11
2345,智邦,895000,2.93,2026-05-11
8299,群聯,805000,2.71,2026-05-11
3711,日月光投控,4000000,2.71,2026-05-11
6669,緯穎,355000,2.39,2026-05-11
2368,金像電,1300000,2.3,2026-05-11
8046,南電,1900000,2.18,2026-05-11
6223,旺矽,260000,1.64,2026-05-11
3533,嘉澤,430000,1.55,2026-05-11
5347,世界,6680000,1.47,2026-05-11
5274,信驊,63000,1.42,2026-05-11
2360,致茂,345000,1.03,2026-05-11
6274,台燿,551000,1.01,2026-05-11
3529,力旺,150000,0.84,2026-05-11
6515,穎崴,65000,0.83,2026-05-11
3044,健鼎,1320000,0.82,2026-05-11
3081,聯亞,230000,0.81,2026-05-11
2454,聯發科,155000,0.76,2026-05-11
8996,高力,545000,0.73,2026-05-11
3443,創意,94000,0.68,2026-05-11
4958,臻鼎-KY,1280000,0.67,2026-05-11
8210,勤誠,340000,0.67,2026-05-11
2313,華通,2000000,0.61,2026-05-11
3583,辛耘,560000,0.61,2026-05-11
8358,金居,1020000,0.6,2026-05-11
6147,頎邦,2400000,0.6,2026-05-11
3211,順達,1100000,0.56,2026-05-11
4979,華星光,660000,0.56,2026-05-11
2337,旺宏,2500000,0.5,2026-05-11
4966,譜瑞-KY,485000,0.45,2026-05-11
1560,中砂,540000,0.43,2026-05-11
3036,文曄,1220000,0.41,2026-05-11
3105,穩懋,500000,0.33,2026-05-11
2327,國巨*,650000,0.32,2026-05-11
6805,富世達,90000,0.23,2026-05-11
6442,光聖,55000,0.14,2026-05-11
2891,中信金,1200000,0.08,2026-05-11
2455,全新,145000,0.07,2026-05-11
