代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,今年 累計 漲跌價,今年 累計 漲跌幅,3個月 累計 漲跌價,3個月 累計 漲跌幅,半年 累計 漲跌價,半年 累計 漲跌幅,1年 累計 漲跌價,1年 累計 漲跌幅,2年 累計 漲跌價,2年 累計 漲跌幅
1324,地球,11.55,1.05,10.0,511,01/05,1.25,12.1,0.6,5.48,0.7,6.45,-1.1,-8.7,-5.5,-32.3
1533,車王電,34.55,2.05,6.31,937,01/05,2.1,6.47,3.25,10.4,4.95,16.7,-4.6,-11.7,-19.45,-36.0
1560,中砂,422.5,15.5,3.81,6246,01/05,26.0,6.56,81.5,23.9,100.5,31.2,132.5,45.7,240.0,132.0
1605,華新,33.6,0.7,2.13,152715,01/05,1.8,5.66,8.35,33.1,13.3,65.5,10.5,45.5,-3.7,-9.92
1711,永光,20.65,0.35,1.72,32889,01/05,1.5,7.83,0.45,2.23,4.6,28.7,0.2,0.98,1.2,6.17
1717,長興,46.1,4.15,9.89,33489,01/05,5.2,12.7,4.45,10.7,21.8,89.7,18.55,67.3,17.2,59.5
1725,元禎,29.9,2.7,9.93,518,01/05,3.3,12.4,2.7,9.93,0.8,2.75,-5.4,-15.3,8.25,38.1
1727,中華化,48.15,2.9,6.41,25139,01/05,4.8,11.1,7.85,19.5,22.65,88.8,19.55,68.4,19.25,66.6
1742,台蠟,16.4,1.45,9.7,537,01/05,2.8,20.6,1.95,13.5,0.25,1.55,-0.7,-4.09,-0.95,-5.48
1773,勝一,152.5,8.0,5.54,3570,01/05,14.5,10.5,11.5,8.16,23.0,17.8,-4.5,-2.87,18.5,13.8
2013,中鋼構,43.2,1.25,2.98,640,01/05,1.3,3.1,1.4,3.35,-0.25,-0.58,-6.65,-13.3,-11.3,-20.7
2301,光寶科,169.5,2.5,1.5,27328,01/05,6.0,3.67,-2.5,-1.45,55.5,48.7,68.5,67.8,55.0,48.0
2308,台達電,1010.0,15.0,1.51,13808,01/05,47.0,4.88,68.0,7.22,560.0,124.0,596.0,144.0,705.5,232.0
2330,台積電,1670.0,85.0,5.36,70791,01/05,120.0,7.74,270.0,19.3,590.0,54.6,595.0,55.3,1094.0,190.0
2337,旺宏,47.65,4.3,9.92,35506,01/05,8.2,20.8,22.35,88.3,26.2,122.0,28.0,142.0,16.6,53.5
2344,華邦電,95.5,4.7,5.18,435516,01/05,12.9,15.6,56.7,146.0,76.4,400.0,81.1,563.0,66.65,231.0
2404,漢唐,992.0,32.0,3.33,5164,01/05,43.0,4.53,106.0,12.0,325.0,48.7,519.0,110.0,721.0,266.0
2408,南亞科,208.0,1.0,0.48,114428,01/05,15.0,7.77,125.0,151.0,159.1,325.0,180.35,652.0,133.3,178.0
