代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
0050,元大台灣50,市,,,72.6,0.0,0,111046,8024,72.6,71.9,72.65,71.85,1.1,,0.9971,,,,,
0052,富邦科技,市,,,42.64,0.16,+0.38,67530,2850,42.48,42.09,42.64,42,1.51,,1.0016,,,,,
006205,富邦上証,市,,,41.13,0.08,+0.19,305,12.5,41.05,41.14,41.34,40.86,1.17,,0.9937,,,,,
006206,元大上證50,市,,,38,0.02,+0.05,109,4.13,37.98,37.98,38.34,37.81,1.4,,0.9948,,,,,
00634R,富邦上証反1,市,,,3.24,0.04,+1.25,152,0.49,3.2,3.21,3.24,3.21,0.94,,0.9969,,,,,
00636,國泰中國A50,市,,,27.04,-0.05,-0.18,1029,27.8,27.09,27.08,27.2,26.91,1.07,,0.9978,,,,,
00639,富邦深100,市,,,15.52,-0.11,-0.7,634,9.85,15.63,15.65,15.7,15.41,1.86,,0.9942,,,,,
00642U,期元大S&P石油,市,,,15.6,-0.01,-0.06,1578,24.6,15.61,15.62,15.66,15.59,0.45,,1.0032,,,,,
00650L,復華香港正2,市,,,18.8,0.0,0,6146,115,18.8,18.92,18.92,18.5,2.23,,1.0091,,,,,
00654R,富邦印度反1,市,,,6.43,0.03,+0.47,64,0.41,6.4,6.37,6.43,6.37,0.94,,0.9938,,,,,
00655L,國泰中國A50正2,市,,,33.96,-0.38,-1.11,2825,96,34.34,34.28,34.43,33.71,2.1,,1.0044,,,,,
00662,富邦NASDAQ,市,,,102.6,0.3,+0.29,2638,271,102.3,102.4,102.8,102.3,0.49,,0.9908,,,,,
00666R,富邦恒生國企反1,市,,,8.66,0.04,+0.46,23,0.2,8.62,8.6,8.74,8.6,1.62,,0.9863,,,,,
00668,國泰美國道瓊,市,,,56.55,0.1,+0.18,19,1.06,56.45,56.55,56.55,56.45,0.18,,0.9942,,,,,
00670L,富邦NASDAQ正2,市,,,160.35,-0.1,-0.06,737,118,160.45,160,160.6,159.85,0.47,,1.0188,,,,,
00674R,期元大S&P黃金反1,市,,,5.42,-0.03,-0.55,1009,5.49,5.45,5.45,5.46,5.42,0.73,,1.0074,,,,,
00676R,富邦臺灣加權反1,市,,,8.25,-0.01,-0.12,2259,18.7,8.26,8.33,8.33,8.25,0.97,,0.9976,,,,,
00679B,元大美債20年,櫃,,,27.24,0.05,+0.18,46420,1265,27.19,27.22,27.29,27.2,0.33,,1.0072,,,,,
00685L,群益臺灣加權正2,市,,,154.6,0.2,+0.13,851,130,154.4,151.3,154.6,151.25,2.17,,1.0039,,,,,
00690,兆豐藍籌30,市,,,48.8,0.43,+0.89,186,9.04,48.37,48.17,48.8,48.15,1.34,,0.9965,,,,,
00693U,期街口S&P黃豆,市,,,20.2,0.01,+0.05,513,10.4,20.19,20.16,20.26,20.16,0.5,,1.0035,,,,,
00695B,富邦美債7-10,櫃,,,35.48,0.12,+0.34,175,6.22,35.62,35.4,35.51,35.4,0.31,,1.0029,,,,,
00697B,元大美債7-10,櫃,,,36.02,0.11,+0.31,625,22.5,35.91,35.93,36.03,35.93,0.28,,1.0017,,,,,
00700,富邦恒生國企,市,,,18.71,0.04,+0.21,236,4.41,18.67,18.67,18.72,18.58,0.75,,0.9995,,,,,
00701,國泰股利精選30,市,,,29.28,0.02,+0.07,1856,54.4,29.96,29.28,29.44,29.16,0.96,,0.9949,,,,,
00703,台新MSCI中國,市,,,22.48,0.28,+1.26,612,13.6,22.2,22.3,22.48,22.05,1.94,,1.0094,,,,,
00708L,期元大S&P黃金正2,市,,,105.75,1.3,+1.24,3272,343,104.45,104.3,106,104.3,1.63,,0.9873,,,,,
00714,群益道瓊美國地產,市,,,20.65,-0.01,-0.05,233,4.82,20.79,20.68,20.73,20.65,0.39,,0.9885,,,,,
00715L,期街口布蘭特正2,市,,,21.42,-0.01,-0.05,6918,148,21.43,21.48,21.54,21.37,0.79,,1.0142,,,,,
00717,富邦美國特別股,市,,,15.33,0.05,+0.33,285,4.36,15.43,15.18,15.33,15.18,0.98,,0.9903,,,,,
00730,富邦臺灣優質高息,市,,,23.72,0.0,0,285,6.76,23.83,23.8,23.8,23.64,0.67,,0.9945,,,,,
00740B,富邦全球投等債,櫃,,,39.25,0.09,+0.23,1741,68.3,39.33,39.26,39.29,39.24,0.13,,0.9959,,,,,
00752,中信中國50,市,,,26.88,-0.04,-0.15,1333,35.8,26.92,26.92,26.99,26.7,1.08,,1.0052,,,,,
00753L,中信中國50正2,市,,,12.94,-0.05,-0.38,15950,205,12.99,13.01,13.05,12.72,2.54,,1.0086,,,,,
00763U,期街口道瓊銅,市,,,32.33,-0.23,-0.71,2790,90.2,32.56,32.47,32.5,32.21,0.89,,1.0028,,,,,
00764B,群益25年美債,櫃,,,28.28,0.04,+0.14,6972,197,28.24,28.24,28.34,28.24,0.35,,0.9999,,,,,
00780B,國泰A級金融債,櫃,,,38.09,0.15,+0.4,108,4.11,37.94,38.01,38.1,38.01,0.24,,1.0038,,,,,
00781B,國泰A級科技債,櫃,,,29.44,0.06,+0.2,158,4.66,29.38,29.47,29.47,29.41,0.2,,1.0065,,,,,
00795B,中信美國公債20年,櫃,,,27.43,0.04,+0.15,15983,439,27.39,27.39,27.48,27.38,0.37,,1.0062,,,,,
00799B,國泰A級醫療債,櫃,,,30.48,0.02,+0.07,296,9.02,30.46,30.53,30.53,30.46,0.23,,1.009,,,,,
00830,國泰費城半導體,市,,,56.6,0.7,+1.25,64288,3669,64.9,56,59.05,55.9,5.64,,1.0173,,,,,
00859B,群益0-1年美債,櫃,,,41.24,0.19,+0.46,2551,105,41.05,41.16,41.26,41.15,0.27,,1.0008,,,,,
00861,元大全球未來通訊,市,,,59.4,0.1,+0.17,138,8.19,59.3,59.4,59.45,59.2,0.42,,0.9921,,,,,
00865B,國泰US短期公債,市,,,47.53,0.2,+0.42,1394,66.3,47.33,47.33,47.55,47.33,0.46,,1.0015,,,,,
00894,中信小資高價30,市,,,29.86,0.06,+0.2,1452,43.1,29.8,29.65,29.87,29.48,1.31,,0.9953,,,,,
00895,富邦未來車,市,,,40.57,0.02,+0.05,609,24.7,40.55,40.55,40.6,40.45,0.37,,0.989,,,,,
00903,富邦元宇宙,市,,,17.54,0.04,+0.23,145,2.54,17.5,17.49,17.55,17.49,0.34,,0.9876,,,,,
00908,富邦入息REITs+,市,,,14.22,0.06,+0.42,313,4.45,14.29,14.17,14.23,14.17,0.42,,0.9896,,,,,
00910,第一金太空衛星,市,,,55.85,1.0,+1.82,4112,229,54.85,55.05,55.95,55.05,1.64,,0.9922,,,,,
00911,兆豐洲際半導體,市,,,37.56,0.86,+2.34,1184,44.6,36.7,36.77,37.92,36.77,3.13,,0.9926,,,,,
00912,中信臺灣智慧50,市,,,22.48,0.03,+0.13,935,21,22.45,22.4,22.5,22.32,0.8,,0.9929,,,,,
