代號,名稱,市 場,股價 日期,成交,漲跌 價,漲跌 幅,成交 張數,營收 月份,單月 營收 (億),單月 營收 歷月 排名,單月 營收 創紀錄 月數,單月 營收 連增減 月數,單月 營收 歷年 排名,單月 營收 創紀錄 年數,累月 營收 (億),累月 營收 歷年 排名,累月 營收 創紀錄 年數,累月 營收 連增減 年數
1316,上曜,市,01/05,14.55,-0.35,-2.35,3521,25M11,6.05,2,95個月高,nan,1.0,29年高,38.5,1.0,29年高,連2增
1438,三地開發,市,01/05,33.4,-0.15,-0.45,66,25M11,4.58,3,nan,3增→減,1.0,29年高,9.89,2.0,nan,nan
1522,堤維西,市,01/05,44.95,-0.75,-1.64,1187,25M11,27.2,2,nan,4增→減,1.0,28年高,216.0,1.0,28年高,連5增
1560,中砂,市,01/05,422.5,15.5,3.81,6246,25M11,7.27,1,276個月高,連3增,1.0,23年高,74.1,1.0,23年高,連2增
1587,吉茂,市,01/05,53.0,3.05,6.11,3065,25M11,2.47,2,41個月高,連3增,1.0,17年高,23.7,1.0,17年高,2減→增
1590,亞德客-KY,市,01/05,962.0,6.0,0.63,255,25M12,33.1,3,8個月高,連2增,1.0,14年高,343.0,1.0,14年高,連14增
1593,祺驊,櫃,01/05,28.7,-0.3,-1.03,41,25M11,1.31,1,185個月高,nan,1.0,16年高,11.2,1.0,16年高,連3增
1736,喬山,市,01/05,147.5,-1.0,-0.67,487,25M11,57.6,2,11個月高,連4增,1.0,24年高,456.0,1.0,24年高,連8增
1783,和康生,市,01/05,42.5,-0.3,-0.7,91,25M12,0.93,1,180個月高,連2增,1.0,15年高,8.12,1.0,15年高,連15增
1815,富喬,櫃,01/05,88.0,-2.7,-2.98,65943,25M11,5.73,1,275個月高,連5增,1.0,23年高,54.8,1.0,23年高,連2增
2059,川湖,市,01/05,3205.0,-255.0,-7.37,1905,25M11,16.6,1,275個月高,連5增,1.0,23年高,158.0,1.0,23年高,連2增
2230,泰茂,櫃,01/05,90.0,-2.9,-3.12,304,25M11,3.21,3,11個月高,2減→增,2.0,nan,17.1,1.0,19年高,連3增
2248,華勝-KY,市,01/05,48.8,-0.5,-1.01,3,25M11,2.23,2,23個月高,nan,1.0,8年高,18.2,2.0,nan,5增→減
2308,台達電,市,01/05,1010.0,15.0,1.51,13808,25M11,505.0,3,3個月低,6增→減,1.0,19年高,5012.0,1.0,19年高,連14增
2317,鴻海,市,01/05,234.5,2.5,1.08,64697,25M12,8629.0,2,nan,nan,1.0,19年高,80998.0,1.0,19年高,連2增
2327,國巨*,市,01/05,244.0,3.0,1.24,65325,25M11,123.0,1,227個月高,nan,1.0,19年高,1206.0,1.0,19年高,連2增
2330,台積電,市,01/05,1670.0,85.0,5.36,76183,25M11,3436.0,3,nan,nan,1.0,29年高,34741.0,1.0,29年高,連2增
2360,致茂,市,01/05,811.0,15.0,1.88,2615,25M11,25.6,3,8個月高,連4增,1.0,29年高,247.0,1.0,29年高,連2增
2376,技嘉,市,01/05,248.0,-11.0,-4.25,6107,25M11,307.0,2,6個月高,連3增,1.0,28年高,3066.0,1.0,28年高,連3增
2382,廣達,市,01/05,278.0,1.0,0.36,26092,25M11,1929.0,1,324個月高,nan,1.0,27年高,18512.0,1.0,27年高,連2增
