代號,名稱,市場,股價日期,K線,成交,漲跌價,漲跌幅,成交張數,成交額(百萬),昨收,開盤,最高,最低,振幅(%),PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
1104,環泥,市,02/09,,29.55,+0.05,+0.17,341,10,29.5,29.5,29.65,29.35,1.02,12.6,0.87,,,,,
1215,卜蜂,市,02/09,,151.5,+4.5,+3.06,996,149,147,147.5,151.5,146.5,3.4,14.8,3.84,,,,,
1231,聯華食,市,02/09,,92.8,0,0,183,17,92.8,93.7,93.7,92.4,1.4,25.7,4.1,,,,,
1264,德麥,櫃,02/09,,282.5,-0.5,-0.18,27,7.48,283,283,283,280,1.06,13.6,3.04,,,,,
1294,漢田生技,櫃,02/09,,80.6,+1.9,+2.41,169,13.7,78.7,80,82.5,78.9,4.57,18.4,3.08,,,,,
1295,生合,櫃,02/09,,75.9,+0.3,+0.4,31,2.33,75.6,76,76,75.2,1.06,16,2.06,,,,,
1316,上曜,市,02/09,,13.35,-0.3,-2.2,3055,41.1,13.65,13.8,13.85,13.25,4.4,,1.1,,,,,
1342,八貫,市,02/09,,102,+2,+2,1601,163,100,103.5,104,100,4,18.7,3.4,,,,,
1402,遠東新,市,02/09,,28.35,+0.35,+1.25,5683,160,28,28.15,28.4,28,1.43,16.9,0.68,,,,,
1419,新紡,市,02/09,,68.1,+0.3,+0.44,210,14.5,67.8,70.7,70.8,67.7,4.57,15.3,1.18,,,,,
1439,雋揚,市,02/09,,29.9,+0.2,+0.67,16,0.47,29.7,29.9,29.9,29.55,1.18,10.7,0.96,,,,,
1503,士電,市,02/09,,207,+6,+2.99,1990,412,201,209.5,209.5,205.5,1.99,32.9,2.97,,,,,
1513,中興電,市,02/09,,163,+4.5,+2.84,5442,878,158.5,162.5,163.5,159.5,2.52,21.1,4.1,,,,,
1519,華城,市,02/09,,945,+35,+3.85,2311,2191,910,948,964,934,3.3,69.3,34.07,,,,,
1522,堤維西,市,02/09,,47.55,+1.1,+2.37,758,35.7,46.45,47.85,47.85,46.45,3.01,41,1.69,,,,,
1560,中砂,市,02/09,,411.5,+15.5,+3.91,1704,702,396,407.5,417.5,406.5,2.78,53.7,8,,,,,
1587,吉茂,市,02/09,,44.95,+1.95,+4.53,676,30.3,43,44.3,45.6,44.25,3.14,214,2.41,,,,,
1590,亞德客-KY,市,02/09,,1215,+20,+1.67,694,848,1195,1240,1245,1195,4.18,30.9,5.07,,,,,
