代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,今年 累計 漲跌價,今年 累計 漲跌幅,3個月 累計 漲跌價,3個月 累計 漲跌幅,半年 累計 漲跌價,半年 累計 漲跌幅,1年 累計 漲跌價,1年 累計 漲跌幅,2年 累計 漲跌價,2年 累計 漲跌幅
1460,宏遠,6.39,0.01,0.16,465,01/02,0.01,0.16,0.55,9.42,-0.3,-4.48,-0.78,-10.9,-1.05,-14.1
1560,中砂,407.0,10.5,2.65,4631,01/02,10.5,2.65,66.0,19.4,86.5,27.0,125.0,44.3,219.0,116.0
1591,駿吉-KY,52.9,2.5,4.96,1170,01/02,2.5,4.96,-1.6,-2.94,-0.3,-0.56,-1.6,-2.94,2.3,4.55
1711,永光,20.3,1.15,6.01,13832,01/02,1.15,6.01,0.1,0.5,4.3,26.9,-0.4,-1.93,0.75,3.84
1721,三晃,17.35,0.85,5.15,12981,01/02,0.85,5.15,4.25,32.4,5.6,47.7,1.3,8.1,2.45,16.4
1773,勝一,144.5,6.5,4.71,1357,01/02,6.5,4.71,3.5,2.48,20.5,16.5,-9.5,-6.17,12.5,9.47
2025,千興,11.3,1.0,9.71,2164,01/02,1.0,9.71,0.25,2.26,-2.75,-19.6,1.66,17.2,4.03,55.4
2070,精湛,43.0,1.2,2.87,268,01/02,1.2,2.87,-5.65,-11.6,2.7,6.7,-28.6,-39.9,9.7,29.1
2233,宇隆,225.5,6.5,2.97,1592,01/02,6.5,2.97,27.0,13.6,41.5,22.6,-48.5,-17.7,87.0,62.8
2236,百達-KY,120.0,4.0,3.45,801,01/02,4.0,3.45,10.5,9.59,21.3,21.6,0.0,0.0,50.5,72.7
2324,仁寶,30.8,0.4,1.32,20113,01/02,0.4,1.32,-1.25,-3.9,2.15,7.5,-4.7,-13.2,-7.3,-19.2
2330,台積電,1585.0,35.0,2.26,39836,01/02,35.0,2.26,185.0,13.2,500.0,46.1,520.0,48.8,1007.0,174.0
2337,旺宏,43.35,3.9,9.89,171847,01/02,3.9,9.89,18.05,71.3,22.0,103.0,23.8,122.0,11.95,38.1
2342,茂矽,30.0,1.6,5.63,4007,01/02,1.6,5.63,-1.95,-6.1,8.25,37.9,-1.0,-3.23,-4.0,-11.8
2344,華邦電,90.8,8.2,9.93,414794,01/02,8.2,9.93,52.0,134.0,71.65,374.0,76.3,526.0,61.45,209.0
2376,技嘉,259.0,9.5,3.81,9369,01/02,9.5,3.81,-52.5,-16.9,-14.0,-5.13,-8.0,-3.0,11.5,4.65
2399,映泰,27.3,1.15,4.4,23768,01/02,1.15,4.4,8.1,42.2,9.4,52.5,1.7,6.64,3.15,13.0
2408,南亞科,207.0,14.0,7.25,138961,01/02,14.0,7.25,124.0,149.0,158.55,327.0,178.55,628.0,133.9,183.0
2409,友達,12.6,0.35,2.86,198405,01/02,0.35,2.86,-1.2,-8.7,0.0,0.0,-1.8,-12.5,-5.15,-29.0
2425,承啟,31.7,1.25,4.11,729,01/02,1.25,4.11,1.5,4.97,-3.2,-9.17,-1.85,-5.51,-16.45,-34.2
2441,超豐,90.2,1.2,1.35,15085,01/02,1.2,1.35,27.0,42.7,31.0,52.4,31.7,54.2,30.0,49.8
2449,京元電子,267.5,20.0,8.08,57298,01/02,20.0,8.08,98.5,58.3,160.5,150.0,154.5,137.0,184.0,220.0
2451,創見,203.0,7.0,3.57,17564,01/02,7.0,3.57,89.5,78.9,83.0,69.2,116.3,134.0,124.2,158.0
2453,凌群,53.7,0.7,1.32,408,01/02,0.7,1.32,-6.8,-11.2,-4.1,-7.09,-5.0,-8.52,-2.7,-4.79
2454,聯發科,1470.0,40.0,2.8,12571,01/02,40.0,2.8,150.0,11.4,180.0,14.0,120.0,8.89,517.0,54.2
2460,建通,22.1,2.0,9.95,1339,01/02,2.0,9.95,4.1,22.8,4.6,26.3,-0.9,-3.91,-6.15,-21.8
2462,良得電,24.1,2.15,9.79,2359,01/02,2.15,9.79,-0.65,-2.63,0.45,1.9,-1.9,-7.31,-13.95,-36.7
2464,盟立,63.5,1.6,2.58,1843,01/02,1.6,2.58,-2.7,-4.08,7.3,13.0,-18.3,-22.4,27.6,76.9
2467,志聖,270.0,19.5,7.78,6693,01/02,19.5,7.78,78.5,41.0,116.0,75.3,69.5,34.7,204.0,309.0
2472,立隆電,117.5,10.5,9.81,14526,01/02,10.5,9.81,30.3,34.7,42.7,57.1,37.0,46.0,47.4,67.6
2476,鉅祥,91.0,4.4,5.08,3131,01/02,4.4,5.08,-13.0,-12.5,20.4,28.9,6.9,8.2,19.8,27.8
2489,瑞軒,15.4,0.25,1.65,4556,01/02,0.25,1.65,2.05,15.4,1.25,8.83,-3.2,-17.2,2.45,18.9
2603,長榮,193.0,3.0,1.58,15229,01/02,3.0,1.58,12.5,6.93,-7.5,-3.74,-34.0,-15.0,38.0,24.5
2891,中信金,50.8,0.6,1.2,37562,01/02,0.6,1.2,8.45,20.0,6.3,14.2,12.1,31.3,22.6,80.1
3006,晶豪科,129.5,11.5,9.75,32964,01/02,11.5,9.75,47.0,57.0,77.5,149.0,68.4,112.0,33.6,35.0
3008,大立光,2585.0,90.0,3.61,1425,01/02,90.0,3.61,200.0,8.39,330.0,14.6,-35.0,-1.34,-100.0,-3.72
3016,嘉晶,54.9,3.8,7.44,2898,01/02,3.8,7.44,-2.4,-4.19,22.2,67.9,9.05,19.7,-5.5,-9.11
3019,亞光,143.5,4.5,3.24,4899,01/02,4.5,3.24,-11.5,-7.42,17.5,13.9,-34.5,-19.4,74.1,107.0
