代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持張 ＞600 ≦800 (萬張),＞600 ≦800 增減 (張),＞600 ≦800 增減 (%),持張 ＞800 ≦1千 (萬張),＞800 ≦1千 增減 (張),＞800 ≦1千 增減 (%),持張 ＞1千 (萬張),＞1千 增減 (張),＞1千 增減 (%)
1101,台泥,23.0,-0.2,-0.86,26W01,01/02,9.89,-1381.0,-1.38,8.17,2463.0,3.11,361.0,21563.0,0.6
1102,亞泥,37.7,0.5,1.34,26W01,01/02,3.57,7.36,0.02,2.92,6.21,0.02,287.0,5557.0,0.19
1103,嘉泥,13.85,-0.1,-0.72,26W01,01/02,1.02,-37.6,-0.37,0.43,0.0,0.0,59.4,249.0,0.04
1216,統一,77.4,0.3,0.39,26W01,01/02,7.42,-1523.0,-2.01,6.3,1766.0,2.88,490.0,4066.0,0.08
1219,福壽,13.45,0.0,0.0,26W01,01/02,0.46,0.0,0.0,0.7,0.0,0.0,18.9,43.0,0.02
1220,台榮,12.5,0.05,0.4,26W01,01/02,0.37,0.0,0.0,0.44,0.0,0.0,10.8,98.0,0.09
1225,福懋油,28.55,0.05,0.18,26W01,01/02,0.22,157.0,7.84,0.16,-839.0,-34.1,20.9,29.6,0.01
1229,聯華,47.0,-0.55,-1.16,26W01,01/02,1.25,29.0,0.23,1.23,-14.0,-0.11,113.0,569.0,0.05
1236,宏亞,25.65,0.2,0.79,26W01,01/02,0.0,0.0,,0.28,0.0,0.0,6.8,106.0,0.16
1295,生合,86.3,1.3,1.53,26W01,01/02,0.22,0.0,0.0,0.19,4.0,0.21,1.42,3.0,0.02
1303,南亞,57.0,-3.2,-5.32,26W01,01/02,6.59,3301.0,5.27,5.22,-1705.0,-3.16,619.0,3937.0,0.06
1304,台聚,10.65,-0.45,-4.05,26W01,01/02,1.29,371.0,2.96,1.24,-1970.0,-13.7,67.7,1619.0,0.24
1308,亞聚,12.85,-0.3,-2.28,26W01,01/02,0.36,21.0,0.58,0.09,-999.0,-51.9,29.5,1591.0,0.54
1310,台苯,8.68,-0.18,-2.03,26W01,01/02,0.97,-837.0,-7.97,0.65,-78.0,-1.19,16.8,554.0,0.33
1319,東陽,97.7,0.7,0.72,26W01,01/02,0.75,16.2,0.22,0.65,858.0,15.3,47.9,2211.0,0.46
1321,大洋,35.0,-0.15,-0.43,26W01,01/02,0.83,0.0,0.0,1.17,2.0,0.02,12.2,16.0,0.01
1323,永裕,19.5,0.05,0.26,26W01,01/02,0.48,0.0,0.0,0.09,11.0,1.25,5.39,44.8,0.08
1324,地球,10.5,0.2,1.94,26W01,01/02,0.13,0.0,0.0,0.19,1.0,0.05,4.57,9.0,0.02
1326,台化,30.95,-1.15,-3.58,26W01,01/02,4.76,-2186.0,-4.39,3.48,767.0,2.26,456.0,2428.0,0.05
1337,再生-KY,4.79,-0.01,-0.21,26W01,01/02,0.68,-794.0,-10.5,0.35,0.0,0.0,10.4,1015.0,0.99
1338,廣華-KY,20.3,-0.3,-1.46,26W01,01/02,0.15,-709.0,-31.9,0.18,986.0,120.0,2.99,50.0,0.17
1409,新纖,14.75,-0.25,-1.67,26W01,01/02,1.39,-204.0,-1.44,1.16,762.0,7.0,98.6,270.0,0.03
1410,南染,34.45,0.15,0.44,26W01,01/02,0.15,0.0,0.0,0.18,0.0,0.0,4.15,4.99,0.01
1418,東華,19.95,0.1,0.5,26W01,01/02,0.12,0.0,0.0,0.18,0.0,0.0,3.37,3.98,0.01
1436,華友聯,65.0,0.1,0.15,26W01,01/02,0.14,0.0,0.0,0.37,9.0,0.24,14.6,188.0,0.13
1437,勤益控,34.5,-0.05,-0.14,26W01,01/02,1.03,-2.0,-0.02,0.85,0.0,0.0,13.2,181.0,0.14
1439,雋揚,29.35,-0.55,-1.84,26W01,01/02,0.22,6.0,0.27,0.17,0.0,0.0,7.02,12.0,0.02
1442,名軒,28.65,-0.9,-3.05,26W01,01/02,1.14,-117.0,-1.01,0.97,-1018.0,-9.46,29.1,238.0,0.08
1446,宏和,18.3,0.0,0.0,26W01,01/02,0.06,0.0,0.0,0.0,0.0,,8.91,10.9,0.01
1449,佳和,11.15,0.05,0.45,26W01,01/02,0.82,-10.0,-0.12,0.08,1.0,0.12,4.25,65.0,0.15
1452,宏益,11.75,0.0,0.0,26W01,01/02,0.54,0.0,0.0,0.43,4.0,0.09,4.85,13.4,0.03
1460,宏遠,6.39,0.01,0.16,26W01,01/02,1.19,-40.0,-0.34,1.66,22.0,0.13,42.4,1448.0,0.34
1463,強盛新,18.5,-0.05,-0.27,26W01,01/02,0.33,0.0,0.0,0.09,0.0,0.0,12.7,72.0,0.06
1464,得力,11.0,-0.05,-0.45,26W01,01/02,1.08,-11.0,-0.1,0.55,-985.0,-15.3,22.5,1107.0,0.49
1466,聚隆,14.1,-0.1,-0.7,26W01,01/02,0.26,-649.0,-20.0,0.1,0.0,0.0,6.96,202.0,0.29
1471,首利,8.83,0.05,0.57,26W01,01/02,0.19,0.0,0.0,0.0,0.0,,2.94,54.0,0.18
1472,三洋實業,88.1,0.1,0.11,26W01,01/02,0.15,0.0,0.0,0.1,-994.0,-49.8,3.63,1233.0,3.52
1473,台南,24.35,-0.45,-1.81,26W01,01/02,0.14,0.0,0.0,0.08,0.0,0.0,9.99,22.0,0.02
1474,弘裕,10.45,-0.2,-1.88,26W01,01/02,0.4,0.0,0.0,0.17,45.0,2.7,6.64,60.0,0.09
1503,士電,169.0,-1.0,-0.59,26W01,01/02,0.43,784.0,22.1,0.27,0.0,0.0,37.4,96.7,0.03
1513,中興電,148.5,-1.0,-0.67,26W01,01/02,0.67,-664.0,-9.03,0.64,-1747.0,-21.4,20.0,4507.0,2.3
1514,亞力,98.1,-1.4,-1.41,26W01,01/02,0.97,-702.0,-6.71,0.17,0.0,0.0,9.6,2179.0,2.32
1515,力山,27.3,-0.1,-0.36,26W01,01/02,0.3,3.0,0.1,0.72,16.7,0.23,7.79,52.0,0.07
1522,堤維西,45.7,-0.25,-0.54,26W01,01/02,0.53,-2193.0,-29.5,0.94,1608.0,20.6,17.2,155.0,0.09
1527,鑽全,32.55,-0.15,-0.46,26W01,01/02,0.27,-58.0,-2.11,0.08,0.0,0.0,3.45,183.0,0.53
1532,勤美,26.05,-0.2,-0.76,26W01,01/02,1.11,-765.0,-6.43,0.45,-140.0,-3.02,24.7,1000.0,0.41
1535,中宇,53.0,-0.2,-0.38,26W01,01/02,0.0,0.0,,0.0,0.0,,9.34,32.0,0.03
1537,廣隆,125.0,0.0,0.0,26W01,01/02,0.44,0.0,0.0,0.09,0.0,0.0,3.48,25.0,0.07
1540,喬福,23.1,0.2,0.87,26W01,01/02,0.13,0.0,0.0,0.19,3.0,0.16,1.98,5.0,0.03
1558,伸興,101.5,-1.0,-0.98,26W01,01/02,0.64,24.0,0.37,0.35,0.0,0.0,0.74,120.0,1.66
1560,中砂,407.0,10.5,2.65,26W01,01/02,0.53,-257.0,-4.6,0.55,62.8,1.17,7.75,155.0,0.2
1563,巧新,47.75,-1.25,-2.55,26W01,01/02,0.86,-25.7,-0.3,0.62,0.0,0.0,6.75,334.0,0.5
1565,精華,116.0,0.0,0.0,26W01,01/02,0.07,5.0,0.7,0.1,0.0,0.0,0.46,50.0,1.09
1568,倉佑,22.3,-0.25,-1.11,26W01,01/02,0.13,1.0,0.08,0.26,0.0,0.0,5.78,12.0,0.02
1569,濱川,55.3,1.3,2.41,26W01,01/02,0.14,-2.0,-0.14,0.09,0.0,0.0,5.28,18.0,0.03
1570,力肯,32.0,0.05,0.16,26W01,01/02,0.07,0.0,0.0,0.08,0.0,0.0,2.32,5.0,0.02
1582,信錦,66.0,-0.4,-0.6,26W01,01/02,0.36,191.0,5.67,0.17,-837.0,-32.5,3.53,128.0,0.36
1583,程泰,44.5,0.35,0.79,26W01,01/02,0.0,0.0,,0.09,0.0,0.0,9.79,562.0,0.58
1584,精剛,22.75,-0.45,-1.94,26W01,01/02,0.49,-201.0,-3.98,0.28,1.0,0.04,7.87,1961.0,2.55
1590,亞德客-KY,956.0,26.0,2.8,26W01,01/02,1.36,684.0,5.29,0.62,-29.8,-0.48,10.7,63.0,0.06
1597,直得,73.0,1.0,1.39,26W01,01/02,0.06,0.0,0.0,0.36,4.32,0.12,3.54,4.0,0.01
1598,岱宇,20.6,-0.1,-0.48,26W01,01/02,0.62,11.0,0.18,0.36,0.0,0.0,8.77,266.0,0.3
1604,聲寶,24.3,-0.1,-0.41,26W01,01/02,0.48,-1294.0,-21.1,0.37,0.0,0.0,20.4,51.6,0.03
1702,南僑,39.05,-0.15,-0.38,26W01,01/02,0.26,0.0,0.0,0.26,-1809.0,-41.4,16.3,1013.0,0.63
1708,東鹼,32.05,-0.1,-0.31,26W01,01/02,0.56,-1327.0,-19.1,0.44,-12.0,-0.27,9.19,850.0,0.93
1709,和益,16.6,-0.05,-0.3,26W01,01/02,1.47,-617.0,-4.02,1.17,-13.0,-0.11,24.5,26.9,0.01
1710,東聯,12.25,-0.2,-1.61,26W01,01/02,1.19,21.0,0.18,1.54,-855.0,-5.26,51.7,148.0,0.03
1712,興農,44.1,0.35,0.8,26W01,01/02,1.42,-670.0,-4.49,1.28,-1005.0,-7.29,19.6,1598.0,0.82
1717,長興,41.95,1.05,2.57,26W01,01/02,2.39,1229.0,5.41,2.71,-1033.0,-3.67,71.2,2435.0,0.34
1718,中纖,6.75,-0.11,-1.6,26W01,01/02,2.83,-23.0,-0.08,2.68,0.0,0.0,82.6,1878.0,0.23
1721,三晃,17.35,0.85,5.15,26W01,01/02,0.56,648.0,13.2,0.26,838.0,47.8,5.99,3146.0,5.54
1722,台肥,47.55,-0.25,-0.52,26W01,01/02,1.5,-2173.0,-12.7,1.06,807.0,8.24,61.7,1898.0,0.31
1733,五鼎,30.55,0.1,0.33,26W01,01/02,0.5,-803.0,-13.8,0.28,-13.0,-0.47,2.93,1050.0,3.71
1734,杏輝,30.5,0.0,0.0,26W01,01/02,0.49,-26.0,-0.53,0.17,0.0,0.0,6.96,27.0,0.04
1736,喬山,148.5,-2.5,-1.66,26W01,01/02,0.85,63.6,0.75,0.33,0.0,0.0,25.5,45.0,0.02
1742,台蠟,14.95,1.35,9.93,26W01,01/02,0.55,-64.0,-1.15,0.08,0.0,0.0,6.59,545.0,0.83
1781,合世,11.0,-0.05,-0.45,26W01,01/02,0.07,0.0,0.0,0.18,-21.0,-1.14,1.38,10.0,0.07
1783,和康生,42.8,0.0,0.0,26W01,01/02,0.28,-5.0,-0.18,0.27,3.0,0.11,4.85,30.0,0.06
1786,科妍,73.0,0.4,0.55,26W01,01/02,0.26,-689.0,-20.8,0.09,66.0,7.56,2.85,173.0,0.61
1805,寶徠,11.95,-0.15,-1.24,26W01,01/02,0.21,0.0,0.0,0.38,2.0,0.05,9.19,183.0,0.2
1808,潤隆,33.5,-0.6,-1.76,26W01,01/02,0.55,61.4,1.13,0.37,-1766.0,-32.4,68.9,151.0,0.02
1809,中釉,18.0,0.55,3.15,26W01,01/02,0.23,-1215.0,-34.3,0.09,-972.0,-51.3,7.84,878.0,1.13
1810,和成,17.6,0.05,0.28,26W01,01/02,0.48,-621.0,-11.5,0.43,-94.7,-2.17,18.4,1194.0,0.65
1815,富喬,90.7,-3.7,-3.92,26W01,01/02,1.06,2025.0,23.7,1.01,5667.0,128.0,25.6,32943.0,14.8
1903,士紙,54.2,0.3,0.56,26W01,01/02,0.35,-661.0,-15.8,0.74,0.0,0.0,19.5,60.0,0.03
2002,中鋼,18.75,-0.25,-1.32,26W01,01/02,13.4,-1095.0,-0.81,10.0,4453.0,4.65,805.0,43852.0,0.55
2008,高興昌,29.05,-0.05,-0.17,26W01,01/02,0.0,0.0,,0.1,0.0,0.0,17.2,31.4,0.02
2009,第一銅,48.6,0.35,0.73,26W01,01/02,0.14,-1456.0,-51.1,0.26,44.0,1.72,20.2,703.0,0.35
2012,春雨,16.8,-0.15,-0.88,26W01,01/02,0.92,-1.0,-0.01,0.51,0.0,0.0,22.7,76.2,0.03
2014,中鴻,15.65,-0.1,-0.63,26W01,01/02,1.2,-2159.0,-15.3,1.12,-192.0,-1.68,65.2,2639.0,0.41
2020,美亞,23.6,-0.2,-0.84,26W01,01/02,0.48,632.0,15.2,0.55,-802.0,-12.7,11.9,1210.0,1.03
2022,聚亨,8.12,-0.13,-1.58,26W01,01/02,0.41,42.0,1.04,0.18,0.0,0.0,11.8,58.0,0.05
2024,志聯,17.5,0.0,0.0,26W01,01/02,0.07,0.0,0.0,0.0,0.0,,7.85,28.0,0.04
2030,彰源,14.55,-0.25,-1.69,26W01,01/02,0.29,0.0,0.0,0.45,0.0,0.0,10.9,80.0,0.07
